bugid,sd,rs
256886,NPE thrown when saving source file,1
256887,org.openide.awt.QuickSearchTest.testAsynchronous is failing,1
256888,Lombok annotated project become broken with last build,1
256890,When selecting 'View Data' the resulting SQL statement has no limit,1
256893,"Remote file chooser: if user presses ""Up"", current directory update should be interruped",1
256897,Convert string concatenation to a message template refactoring produces incomplete result,1
256898,dlight.nativeexecution Makefile support for different compilers/flags,1
256900,"IndexOutOfBoundsException: Index: 1, Size: 0",1
256901,"Can not add ""Common Palette"" into my RCP module dependency",0
256903,All Identifiers unresolved sometimes.,0
256904,Misspelled words in comments not identified unless page scrolled a little,1
256911,NullPointerException at com.sun.tools.javac.comp.Analyzer$DiamondInitializer.process,1
256912,[newcodemodel]There is no code model when project is placed in folder with non-ASCII symbols in path,1
256914,Can not verify auto-copy binaries with Studio analysis tools (,1
256916,Test functionality of Bugzilla - EDIT issue(SSO),1
256919,fix issues discovered in rfs_controller and rfs_preload,1
256923,"Faulty default pattern for ""constant naming conventions"" hints",1
256926,honor the grunt --tasks option when reloading tasks,1
256927,persist grunt actions with a display name,1
256928,NullPointerException at org.netbeans.modules.java.hints.suggestions.IfToSwitchSupport.evalConstant,1
256930,[profiling points] Main project not displayed by bold font,1
256931,Code completion for nonimported class offers 3 times .class,1
256933,[newcodemodel] IDE cannot resolve include paths with non ASCII chars,1
256937,Can't download ODCS plugin,1
256943,activeReferenceQueue bug: ChildrenLazyKeysTest is failing often,1
256946,Test functionality of Bugzilla - EDIT issue(SSO),1
256947,Annoying exceptions in console: Error Downloading  /etc/auto.master,1
256950,NoSuchFieldError: JDK1_9,1
256951,Remove full file path (including user name) from fs_server binaries,1
256952,ConsistencyVerifier.findInconsistencies fails for Java dependency,1
256953,[HeapWalker] Strings are displayed incorrectly,1
256954,NullPointerException at org.netbeans.modules.cordova.wizard.CordovaSampleIterator.instantiate,1
256956,There is no JSlider component in component pallete,1
256958,StringIndexOutOfBoundsException: String index out of range: -30,1
256960,AWS Elastic Beanstalk: Region Frankfurt not available in dropdown list,1
256961,Wrong handling of JDK 9 java.version in tests,1
256963,Create branch should respect autosetuprebase in config,1
256964,Checkout remote branch should by default offer creating new branch,1
256972,The org.netbeans.modules.javafx2.platform.Utils does not use correctly java.specification.version,1
256973,Test functionality of Bugzilla - EDIT issue(SSO),1
256977,[regression] NB.Trunk reports a lot of false positives errors about correct JDK7/JKD8 code,0
256979,Hybernate wrongly uses java.specification.version in HQLEditorController,1
256980,SourceLevelQuery normalization is wrong for Verona,1
256981,Merge Verona to NB-navac,1
256982,ConvertToArm incorrectly uses source level,1
256983,org.netbeans.modules.maven.customizer.SourcesPanel incorrectly uses source level,1
256984,JavacParser incorrectly uses sourceLevel for JDK 9.,1
256985,C++ std::flush does not output to the debug window while debugger running 8.1 and 8.1(Beta),0
256987,Update JDK to 8u71,1
256989,Remote Git  cannot perform Push to Upstream,1
256992,"""NetBeans Connector is debugging this browser"" message present in all tabs",0
256994,Commenting a PHP block breaks the format,0
256995,NullPointerException at com.sun.tools.javac.comp.Resolve.findType,1
256996,NullPointerException at jdk.nashorn.internal.ir.CallNode.accept,1
256998,NullPointerException at org.netbeans.modules.java.editor.base.semantic.MarkOccurrencesHighlighterBase.processImpl,1
256999,Test functionality of Bugzilla - EDIT issue(SSO),1
257000,"printf not showing up in console - can't step into/over fgets, debugger stops",0
257003,"Error message ""X is not a folder"" should be ""folder X doesn't exist"" in project discovery dialog",1
257004,Test functionality of Bugzilla - EDIT issue(SSO),1
257005,CTRL   Space and CTRL   Click don't work properly anymore,1
257007,NullPointerException at org.openide.text.LineVector.getLinesInRange,1
257008,Hint anounced not read variable despite it is,1
257014,Test functionality of Bugzilla - EDIT issue(SSO),1
257016,Unable to run due to failed dependecy,1
257019,cannot change font of code folding bar,0
257020,NullPointerException at com.sun.tools.javac.code.TypeAnnotations$TypeAnnotationPositions.visitMethodDef,1
257022,NullPointerException at org.netbeans.modules.cnd.completion.cplusplus.ext.CompletionSupport.isUserConvertible,1
257024,Remote Git Show Outgoing fails,1
257025,AIOOBE when filtering threads in Methods,1
257028,std::locale and unresolved identifier,1
257029,ostringstream and unresolved identifiers,0
257030,Unresolved identifiers in template if variable has 'auto' type,1
257031,Unresolved identifiers in ternary operator,1
257032,std::tm and unresolved identifiers,1
257038,C++14: make_unique and unresolved identifier,1
257039,Support private (non-JSON) state in @Model classes,1
257040,IllegalArgumentException: No classpath provided by task: org.netbeans.modules.java.hints.ui.ClassNameList$8@4eb22c88,1
257043,NoClassDefFoundError: Could not initialize class org.netbeans.api.project.ui.OpenProjects,0
257045,IllegalArgumentException: Node name com.amadeus.simpleoperationsextractor.FloatOpToMonetaryComputerHint.computeWarning too long,0
257046,Test functionality of Bugzilla - EDIT issue(SSO),1
257048,Guard block hint issue,1
257049,Why show ModalDialog when hotfix fail in debug？,1
257050,AssertionError at com.sun.tools.javac.util.Assert.error,1
257051,NullPointerException at com.sun.tools.javac.api.JavacTaskImpl$Filter.run,1
257052,"Nimbus LAF, Slider disappear",1
257062,ClassCastException: java.lang.String cannot be cast to java.lang.Number,1
257068,Report issue not working,1
257070,File history no available,1
257071,Unnecessary boxing throws IOOBE,0
257072,Test functionality of Bugzilla - EDIT issue(SSO),1
257075,NullPointerException at com.sun.tools.javac.code.Scope$NamedImportScope.importType,1
257078,NullPointerException at org.netbeans.modules.git.remote.ui.repository.RepositoryBrowserPanel$TagChildren.refreshTags,1
257080,"Incorrect hint ""Field name is not used""",1
257082,java.lang.NoClassDefFoundError: org/netbeans/lib/nbjavac/services/NBClassReader,0
257086,OnPropertyChange in an innerclass generates incompilable code,1
257088,Class keywords for code completion are not shown inside a trait method,1
257089,ClassNotFoundException: com.jcraft.jsch.Logger,1
257090,Test functionality of Bugzilla - EDIT issue(SSO),1
257091,NullPointerException at org.netbeans.modules.web.webkit.debugging.api.css.PseudoIdRules.<init>,1
257092,NB C++ Installer prompts for JDK,1
257094,A redeclared trait method is not marked as a hint error,1
257098,"Wrong hint ""Array instance printed on PrintStream"" for char array",1
257106,StackOverflowError at java.util.WeakHashMap.getTable,1
257107,large number of java.net.SocketException: socket closed from CLIHandler$Server.run(),1
257108,Test functionality of Bugzilla - EDIT issue(SSO),1
257110,sass &:not(.class) breaks syntax highlighting,1
257114,disassmbly window does not show tabs correctly,1
257119,Each push to the same branch requires confirmation of a new branch creation,1
257121,Test functionality of Bugzilla - EDIT issue(SSO),1
257125,[ConvertorProjects] Composer.json breaks unit testing option,0
257126,Test functionality of Bugzilla - EDIT issue(SSO),1
257127,NullPointerException at org.netbeans.modules.java.hints.suggestions.ExpectedTypeResolver.visitMemberSelect,1
257128,the connection node doesn't disappear until I delete a 2nd connection,0
257129,"Converting enhanced-for to forEach via ""use functional operations"" hint is incorrect",1
257130,Update to 3.4.0 of knockout.js,1
257133,[newcodemodel] AssertionError: Cannot modify const object!,1
257134,Use of alert() or confirm() in JavaScript raises exception,0
257135,Test functionality of Bugzilla - EDIT issue(SSO),1
257141,Possible enhancement on code assistance,1
257144,"When Source>Format (Alt+Shift+F) is applied on JavaScript, definition of third var in new line not tabbed properly",1
257146,Renaming a file from #include directive does not work,1
257147,Unresolved #include if I rename a header file twice,0
257148,Test functionality of Bugzilla - EDIT issue(SSO),1
257150,After update from 8.0 to 8.1 background scanning never finish,1
257151,AngularJS templateURL: Go to template declaration hangs,0
257152,was [Bug 256791 - failing SelectModelTestCase.testSelectModelGetFunctions on Ubuntu test machine],1
257154,Add method for initializing technology,1
257158,goto method definition does not work when declared not in the same file as class,1
257165,org.netbeans.modules.deadlock.detector.Detector$DeadlockDetectedException: Remote File System RefreshManager tatianama@ip-10-201-1-40.ec2.tbricks.com,1
257168,Test functionality of Bugzilla - EDIT issue(SSO),1
257169,java.io.EOFException at java.io.DataInputStream.readFully,0
257170,Warning in Freeway sample project,1
257171,"Misleading error message ""Use BrwsrCtx.execute!""",1
257172,ViewModel code template for Knockout (and thus also JET),1
257173,NullPointerException at org.netbeans.modules.cnd.mixeddev.debugger.CndSessionChanger.changeSuggested,1
257175,Base Distribution as a NetBeans project template,1
257186,Test functionality of Bugzilla - EDIT issue(SSO),1
257187,FindUsages resolving regression,1
257199,IllegalArgumentException: bad position: -1,1
257200,Step Over skips class initializer,0
257202,Test functionality of Bugzilla - EDIT issue(SSO),1
257203,Token id must not be null.,1
257204,Support classes and extending classes,1
257206,Class marked as global variable in export,1
257209,Java file lost syntax coloring and highlithing,0
257210,Stable exception in remote test logs,1
257213,Remote Git does not show Incoming Changes,1
257219,Test functionality of Bugzilla - EDIT issue(SSO),1
257220,New JET Module file wizard,1
257224,ArrayIndexOutOfBoundsException: 0,1
257227,"UnsupportedOperationException: command: debug, JavaRunner impls: []",0
257228,Test functionality of Bugzilla - EDIT issue(SSO),1
257232,UnsatisfiedLinkError: no iDeviceNativeBinding in java.library.path,1
257233,"Cannot inspect project in iOS Simulator (not Cordova, plain HTML5)",0
257234,AssertionError: document url does not contain 'www' in path:,1
257237,Kill running npm script on re-run,1
257238,Test functionality of Bugzilla - EDIT issue(SSO),1
257243,OutOfMemoryError while CppJNILibrary project creation,0
257245,Formatting and template exception in editor : NullPointerException at java.lang.String.contentEquals,1
257247,In debug mode we should not verify the bytecode,1
257249,OutOfMemoryError: Java heap space,0
257251,java.io.FileNotFoundException: Path is not absolute: ~/2015,1
257254,Test functionality of Bugzilla - EDIT issue(SSO),1
257256,Fix High Priority FindBugs error: Type SA_FIELD_DOUBLE_ASSIGNMENT,1
257258,"In Services tab ""New C/C++ Project..."" menu item calls 2 ""New Project"" wizards",1
257261,NullPointerException at org.netbeans.modules.versioning.ui.history.HistoryComponent$Toolbar.onModeChange,1
257263,Multicursor selection using alt-shift click more than once produces duplicate letters,1
257264,AssertionError at org.netbeans.modules.php.editor.verification.IntroduceSuggestion.getOffset,1
257267,Test functionality of Bugzilla - EDIT issue(SSO),1
257273,NullPointerException at org.netbeans.modules.cnd.modelimpl.csm.TypeImpl._getClassifier,1
257274,There still are security issues in fs_server (discovered by dynamic and static tests),1
257275,Compile on Save doesn't detect change when save made while build is running,0
257276,AbstractMethodError: org.netbeans.modules.cnd.toolchain.compilers.CCCCompiler.getCallable()Lorg/netbeans/modules/cnd/toolchain/compilers/CCCCompiler$MyCallable;,0
